onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
5.102	17.897	fakerating	23.101	3	36	F	4
27.918	17.903	fakerating	45.917	3	63	F	3
51.117	17.892	fakerating	69.116	3	62	F	5
74.383	17.91	fakerating	92.382	3	89	F	5
97.999	17.9	fakerating	115.998	3	33	F	4
121.581	17.91	fakerating	139.581	3	90	F	4
144.331	17.907	fakerating	162.33	3	53	F	2
167.014	17.908	fakerating	185.013	3	76	F	5
190.063	17.858	fakerating	208.012	3	77	F	2
212.579	17.897	fakerating	230.579	3	75	F	2
241.011	17.888	realrating	258.994	3	134	R	2
264.027	17.887	realrating	282.01	3	118	R	2
287.86	17.883	realrating	305.843	3	112	R	2
310.476	17.874	realrating	328.459	3	116	R	1
333.742	17.888	realrating	351.725	3	113	R	2
356.608	17.878	realrating	374.591	3	121	R	4
380.291	17.9	realrating	398.29	3	115	R	3
402.874	17.894	realrating	420.873	3	119	R	2
425.99	17.899	realrating	443.989	3	114	R	3
448.805	17.904	realrating	466.805	3	102	R	2
476.955	17.891	realrating	494.954	3	105	R	2
499.521	17.889	realrating	517.52	3	24	R	2
522.703	17.899	realrating	540.703	3	108	R	2
546.019	17.887	realrating	564.019	3	100	R	5
569.319	17.892	realrating	587.302	3	27	R	1
591.651	17.906	realrating	609.651	3	104	R	3
615.334	17.895	realrating	633.333	3	28	R	2
637.883	17.889	realrating	655.883	3	103	R	4
660.333	17.897	realrating	678.332	3	94	R	3
683.232	17.892	realrating	701.231	3	107	R	3
711.281	17.911	fakerating	729.281	3	91	F	6
734.447	17.911	fakerating	752.447	3	58	F	2
757.53	17.895	fakerating	775.529	3	85	F	4
781.129	17.896	fakerating	799.129	3	61	F	2
804.412	17.896	fakerating	822.411	3	128	F	4
827.178	17.897	fakerating	845.177	3	57	F	4
850.894	17.89	fakerating	868.877	3	74	F	3
873.927	17.894	fakerating	891.926	3	131	F	5
897.326	17.907	fakerating	915.325	3	72	F	4
920.358	17.898	fakerating	938.358	3	127	F	4
26.134	1.687	fixations	n/a	n/a	n/a	n/a	n/a
48.95	2.059	fixations	n/a	n/a	n/a	n/a	n/a
72.15	2.143	fixations	n/a	n/a	n/a	n/a	n/a
95.416	2.483	fixations	n/a	n/a	n/a	n/a	n/a
119.032	2.459	fixations	n/a	n/a	n/a	n/a	n/a
142.614	1.624	fixations	n/a	n/a	n/a	n/a	n/a
165.364	1.558	fixations	n/a	n/a	n/a	n/a	n/a
188.046	1.875	fixations	n/a	n/a	n/a	n/a	n/a
211.046	1.43	fixations	n/a	n/a	n/a	n/a	n/a
233.612	2.287	fixations	n/a	n/a	n/a	n/a	n/a
262.028	1.884	fixations	n/a	n/a	n/a	n/a	n/a
285.043	2.7	fixations	n/a	n/a	n/a	n/a	n/a
308.876	1.474	fixations	n/a	n/a	n/a	n/a	n/a
331.492	2.138	fixations	n/a	n/a	n/a	n/a	n/a
354.758	1.728	fixations	n/a	n/a	n/a	n/a	n/a
377.624	2.567	fixations	n/a	n/a	n/a	n/a	n/a
401.324	1.444	fixations	n/a	n/a	n/a	n/a	n/a
423.79	2.099	fixations	n/a	n/a	n/a	n/a	n/a
447.022	1.678	fixations	n/a	n/a	n/a	n/a	n/a
469.838	2.008	fixations	n/a	n/a	n/a	n/a	n/a
497.988	1.422	fixations	n/a	n/a	n/a	n/a	n/a
520.553	2.049	fixations	n/a	n/a	n/a	n/a	n/a
543.736	2.17	fixations	n/a	n/a	n/a	n/a	n/a
567.052	2.159	fixations	n/a	n/a	n/a	n/a	n/a
590.235	1.322	fixations	n/a	n/a	n/a	n/a	n/a
612.684	2.545	fixations	n/a	n/a	n/a	n/a	n/a
636.367	1.398	fixations	n/a	n/a	n/a	n/a	n/a
658.916	1.314	fixations	n/a	n/a	n/a	n/a	n/a
681.365	1.759	fixations	n/a	n/a	n/a	n/a	n/a
704.148	2.044	fixations	n/a	n/a	n/a	n/a	n/a
732.214	2.144	fixations	n/a	n/a	n/a	n/a	n/a
755.48	1.945	fixations	n/a	n/a	n/a	n/a	n/a
778.563	2.461	fixations	n/a	n/a	n/a	n/a	n/a
802.162	2.146	fixations	n/a	n/a	n/a	n/a	n/a
825.445	1.63	fixations	n/a	n/a	n/a	n/a	n/a
848.211	2.573	fixations	n/a	n/a	n/a	n/a	n/a
871.91	1.911	fixations	n/a	n/a	n/a	n/a	n/a
894.959	2.274	fixations	n/a	n/a	n/a	n/a	n/a
918.359	1.897	fixations	n/a	n/a	n/a	n/a	n/a
941.291	2.505	fixations	n/a	n/a	n/a	n/a	n/a
0.032	4.967	intro&rest	n/a	n/a	n/a	n/a	n/a
234.459	4.972	intro&rest	n/a	n/a	n/a	n/a	n/a
472.302	4.961	intro&rest	n/a	n/a	n/a	n/a	n/a
708.229	4.973	intro&rest	n/a	n/a	n/a	n/a	n/a
944.288	2.97	intro&rest	n/a	n/a	n/a	n/a	n/a
